"Time","CPU 0 - Processed","CPU 1 - Processed","CPU 10 - Processed","CPU 11 - Processed","CPU 2 - Processed","CPU 3 - Processed","CPU 4 - Processed","CPU 5 - Processed","CPU 6 - Processed","CPU 7 - Processed","CPU 8 - Processed","CPU 9 - Processed","CPU 0 - Dropped","CPU 1 - Dropped","CPU 10 - Dropped","CPU 11 - Dropped","CPU 2 - Dropped","CPU 3 - Dropped","CPU 4 - Dropped","CPU 5 - Dropped","CPU 6 - Dropped","CPU 7 - Dropped","CPU 8 - Dropped","CPU 9 - Dropped"
2026-06-04 16:00:00,77.3 p/s,59.0 p/s,84.6 p/s,52.8 p/s,82.4 p/s,53.3 p/s,80.8 p/s,55.0 p/s,88.3 p/s,70.2 p/s,86.5 p/s,50.8 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-06-04 16:00:30,80.5 p/s,60.5 p/s,85.8 p/s,57.8 p/s,78.6 p/s,58.2 p/s,83.5 p/s,56.0 p/s,88.5 p/s,58.8 p/s,85.5 p/s,53.6 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-06-04 16:01:00,82.2 p/s,54.8 p/s,83.7 p/s,60.7 p/s,79.6 p/s,60.0 p/s,82.3 p/s,55.7 p/s,91.5 p/s,56.3 p/s,84.7 p/s,52.3 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-06-04 16:01:30,81.9 p/s,59.1 p/s,85.1 p/s,56.6 p/s,79.0 p/s,64.6 p/s,80.2 p/s,51.6 p/s,89.3 p/s,52.6 p/s,88.9 p/s,53.3 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-06-04 16:02:00,85.2 p/s,61.1 p/s,83.7 p/s,57.9 p/s,77.4 p/s,68.7 p/s,77.6 p/s,54.1 p/s,87.6 p/s,56.9 p/s,85.6 p/s,48.3 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-06-04 16:02:30,87.6 p/s,63.1 p/s,81.9 p/s,61.2 p/s,78.4 p/s,67.7 p/s,77.3 p/s,54.1 p/s,84.1 p/s,58.7 p/s,81.0 p/s,52.4 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-06-04 16:03:00,97.8 p/s,64.4 p/s,84.7 p/s,66.0 p/s,81.0 p/s,61.2 p/s,79.1 p/s,56.3 p/s,87.5 p/s,59.6 p/s,79.1 p/s,51.7 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-06-04 16:03:30,93.5 p/s,67.9 p/s,86.4 p/s,64.5 p/s,84.7 p/s,61.0 p/s,79.8 p/s,58.3 p/s,92.5 p/s,63.7 p/s,82.7 p/s,54.2 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-06-04 16:04:00,85.7 p/s,67.7 p/s,88.4 p/s,63.4 p/s,83.2 p/s,56.8 p/s,78.8 p/s,59.8 p/s,92.0 p/s,64.2 p/s,83.5 p/s,56.4 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-06-04 16:04:30,78.8 p/s,61.5 p/s,86.6 p/s,58.9 p/s,86.2 p/s,57.3 p/s,80.7 p/s,61.2 p/s,92.2 p/s,61.4 p/s,81.8 p/s,55.5 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
